id,title,user,game_url,submission_url,disqualified,ratings_count,judge_feedback_count,comments_count,windows,osx,linux,android
2340758,Y-Fu Mastery,MwSama,https://mattheww0520.itch.io/y-fu-mastery,https://itch.io/jam/mega-collab-jam/rate/2340758,,0,0,0,,true,,
2340748,The Ballroom Problem,Nicholas Way,https://eggshelld.itch.io/ballroom-problem,https://itch.io/jam/mega-collab-jam/rate/2340748,,0,0,0,true,true,,
2340722,Eviction Notice,aprzn123,https://aprzn123.itch.io/eviction-notice,https://itch.io/jam/mega-collab-jam/rate/2340722,,0,0,1,,,,
2340721,DEMON DANCE,thevoices,https://thevoices.itch.io/demon-dance,https://itch.io/jam/mega-collab-jam/rate/2340721,,0,0,0,,,,
2340720,Pumpkin Pelter,GavinMcG,https://gavinmcg.itch.io/pumpkin-pelter,https://itch.io/jam/mega-collab-jam/rate/2340720,,0,0,0,,,,
2340668,Rise and Shine,rhansen3,https://rhansen3.itch.io/rise-and-shine,https://itch.io/jam/mega-collab-jam/rate/2340668,,0,0,0,,,,
2340664,Paranoir,dannyjp,https://dannyjp.itch.io/paranoir,https://itch.io/jam/mega-collab-jam/rate/2340664,,0,0,0,,,,
2340495,"I'll Try Spinning, That's a Good Trick",ethantho,https://ethantho.itch.io/ill-try-spinning-thats-a-good-trick,https://itch.io/jam/mega-collab-jam/rate/2340495,,0,0,0,,,,
2340400,Agent 404,devpachi,https://devpachi.itch.io/agent-404,https://itch.io/jam/mega-collab-jam/rate/2340400,,0,0,0,,,,
2338967,Heartbeat,brightp-py,https://brightp-py.itch.io/heartbeat,https://itch.io/jam/mega-collab-jam/rate/2338967,,0,0,0,true,,,
2336722,Waiting For Signal,zstarlight,https://zstarlight.itch.io/waiting-for-signal,https://itch.io/jam/mega-collab-jam/rate/2336722,,0,0,0,true,true,,
