id,title,user,game_url,submission_url,disqualified,ratings_count,judge_feedback_count,comments_count,windows,osx,linux,android
1790877,Disco Euphonium,shalimman,https://shalimman.itch.io/disco-euphonium,https://itch.io/jam/wsdp-tgj-22/rate/1790877,,0,0,0,,,,
1790838,Ace of Swords,GRWrobotics,https://grwrobotics.itch.io/ace-of-swords,https://itch.io/jam/wsdp-tgj-22/rate/1790838,,0,0,0,true,true,true,
1790836,Garden Growth,Jacob Robinson,https://thesevensages.itch.io/garden-growth,https://itch.io/jam/wsdp-tgj-22/rate/1790836,,0,0,0,true,true,,
1790834,Rainy Day,ShaddyRuler,https://shaddyruler.itch.io/rainy-day,https://itch.io/jam/wsdp-tgj-22/rate/1790834,,0,0,0,,,,
1790768,Construction Notice,sumwun1,https://sumwun1.itch.io/construction-notice,https://itch.io/jam/wsdp-tgj-22/rate/1790768,,0,0,0,,,,
1790763,Hatchet,NavelSaber,https://navelsaber.itch.io/hatchet,https://itch.io/jam/wsdp-tgj-22/rate/1790763,,0,0,0,,,,
1790657,Flour-ish,lyanac,https://lyanac.itch.io/flour-ish,https://itch.io/jam/wsdp-tgj-22/rate/1790657,,0,0,0,true,true,,
1790477,"Accidentally Became a Cyborg, Now I have to Feed a Carnivorous Plant Girl?!",thevoices,https://thevoices.itch.io/accidentally-became-a-cyborg-now-i-have-to-feed-a-carnivorous-plant-girl,https://itch.io/jam/wsdp-tgj-22/rate/1790477,,0,0,0,true,true,true,
1790402,BEE-01,FiveArcher76571,https://fivearcher76571.itch.io/bee-01,https://itch.io/jam/wsdp-tgj-22/rate/1790402,,0,0,0,true,,,
1749513,DAMNED,Nicholas Way,https://eggshelld.itch.io/damned,https://itch.io/jam/wsdp-tgj-22/rate/1749513,,0,0,0,true,true,,
